NAME,CITY,STATE,YEAR,TOT_UNITS,MED_VALUE,MED_RENT,OCCUP_OCCUP,VACANT,OCCUP_TENURE,OCCUP_OWNR,OCCUP_RENTR,BUILT_2020,BUILT_2010,BUILT_2000,BUILT_1990,BUILT_1980,BUILT_1970,BUILT_1960,BUILT_1950,BUILT_1940,BUILT_1939
"Hawthorne city, California",Hawthorne city, California,2010,30259,392900.0,982.0,28889,1370,7224,21665,3.47,599.0,287.0,1960.0,5443.0,4417.0,6337.0,6715.0,3400.0,1101.0,30259.0
"Hayward city, California",Hayward city, California,2010,47134,336400.0,1174.0,43335,3799,22919,20416,3.42,1854.0,2009.0,4291.0,6660.0,10104.0,5780.0,12236.0,1829.0,2371.0,47134.0
"Hemet city, California",Hemet city, California,2010,33791,115200.0,918.0,29954,3837,18406,11548,2.45,2113.0,4914.0,3776.0,7935.0,8473.0,3990.0,1337.0,891.0,362.0,33791.0
"Hesperia city, California",Hesperia city, California,2010,29268,150300.0,939.0,26411,2857,17085,9326,3.4,3986.0,2950.0,4624.0,9853.0,4602.0,1491.0,1159.0,199.0,404.0,29268.0
"Huntington Beach city, California",Huntington Beach city, California,2010,79210,624900.0,1437.0,74874,4336,44872,30002,2.54,859.0,3721.0,4929.0,8579.0,26150.0,29337.0,3862.0,819.0,954.0,79210.0
"Indio city, California",Indio city, California,2010,30813,196100.0,856.0,24519,6294,16558,7961,2.76,5083.0,7260.0,3966.0,6924.0,4222.0,1658.0,1606.0,0.0,94.0,30813.0
"Inglewood city, California",Inglewood city, California,2010,37320,338900.0,1011.0,34712,2608,12982,21730,3.2,329.0,837.0,1302.0,3080.0,4843.0,6802.0,7979.0,6342.0,5806.0,37320.0
"Irvine city, California",Irvine city, California,2010,81468,646900.0,1705.0,76172,5296,38163,38009,2.86,11048.0,17681.0,13341.0,15597.0,19715.0,3203.0,656.0,48.0,179.0,81468.0
"Lake Forest city, California",Lake Forest city, California,2010,27524,517800.0,1624.0,26602,922,18428,8174,2.81,201.0,280.0,6037.0,8352.0,9401.0,2348.0,744.0,134.0,27.0,27524.0
"Lakewood city, California",Lakewood city, California,2010,27534,440600.0,1395.0,26485,1049,19285,7200,3.1,92.0,0.0,1366.0,1334.0,1814.0,2836.0,16023.0,3538.0,531.0,27534.0
"Lancaster city, California",Lancaster city, California,2010,53770,166300.0,1034.0,47466,6304,28492,18974,3.24,5689.0,3029.0,10491.0,16470.0,7695.0,2599.0,5843.0,1348.0,606.0,53770.0
"Livermore city, California",Livermore city, California,2010,31927,472000.0,1336.0,29848,2079,20432,9416,2.82,977.0,2560.0,5368.0,3630.0,7260.0,7984.0,3090.0,535.0,523.0,31927.0
"Long Beach city, California",Long Beach city, California,2010,174236,435500.0,1051.0,158386,15850,62682,95704,3.06,3083.0,2527.0,5602.0,14948.0,21248.0,25978.0,37598.0,26215.0,37037.0,174236.0
"Los Angeles city, California",Los Angeles city, California,2010,1421938,452300.0,1117.0,1310259,111679,493028,817231,3.07,42995.0,45344.0,79236.0,143860.0,194472.0,210165.0,264338.0,158021.0,283507.0,1421938.0
"Lynwood city, California",Lynwood city, California,2010,16967,287600.0,987.0,15511,1456,7251,8260,4.53,581.0,355.0,1199.0,396.0,828.0,2292.0,4255.0,4802.0,2259.0,16967.0
"Manteca city, California",Manteca city, California,2010,23644,206000.0,1130.0,22451,1193,12998,9453,2.88,2048.0,4527.0,2986.0,4109.0,4098.0,3085.0,1867.0,828.0,96.0,23644.0
"Menifee city, California",Menifee city, California,2010,31110,184600.0,1127.0,28225,2885,22975,5250,2.68,6139.0,6289.0,5021.0,5877.0,3224.0,3569.0,760.0,176.0,55.0,31110.0
"Merced city, California",Merced city, California,2010,26577,140300.0,772.0,23350,3227,9944,13406,3.51,1632.0,3853.0,2842.0,4310.0,4569.0,3005.0,3213.0,1229.0,1924.0,26577.0
"Milpitas city, California",Milpitas city, California,2010,20015,543500.0,1578.0,19127,888,12068,7059,3.33,2170.0,1484.0,2555.0,2423.0,7962.0,2405.0,959.0,0.0,57.0,20015.0
"Mission Viejo city, California",Mission Viejo city, California,2010,34885,559900.0,1749.0,33734,1151,25914,7820,2.75,0.0,1098.0,5596.0,9307.0,14334.0,4337.0,103.0,0.0,110.0,34885.0
"Modesto city, California",Modesto city, California,2010,75328,173500.0,1001.0,69452,5876,38271,31181,2.78,2207.0,5669.0,8127.0,16503.0,18586.0,7315.0,9055.0,3562.0,4304.0,75328.0
"Moreno Valley city, California",Moreno Valley city, California,2010,51969,167600.0,1266.0,49040,2929,30109,18931,3.98,7766.0,5194.0,6966.0,22401.0,5756.0,2080.0,1445.0,91.0,270.0,51969.0
"Mountain View city, California",Mountain View city, California,2010,34086,688700.0,1419.0,32019,2067,13313,18706,2.42,1318.0,824.0,3163.0,3473.0,8975.0,7155.0,6658.0,941.0,1579.0,34086.0
"Murrieta city, California",Murrieta city, California,2010,33249,271500.0,1267.0,30651,2598,21240,9411,3.52,5630.0,10433.0,7883.0,7315.0,1416.0,282.0,0.0,0.0,290.0,33249.0
"Napa city, California",Napa city, California,2010,30030,397100.0,1146.0,28681,1349,16706,11975,2.57,849.0,1903.0,3611.0,5400.0,5821.0,3004.0,4518.0,1568.0,3356.0,30030.0
"Newport Beach city, California",Newport Beach city, California,2010,44244,,1809.0,38449,5795,21476,16973,2.38,956.0,4321.0,5557.0,4018.0,10594.0,8943.0,5290.0,2793.0,1772.0,44244.0
"Norwalk city, California",Norwalk city, California,2010,28966,316000.0,1198.0,27796,1170,17584,10212,3.91,0.0,555.0,1323.0,3210.0,4419.0,5066.0,10537.0,3251.0,605.0,28966.0
"Oakland city, California",Oakland city, California,2010,172774,428200.0,991.0,151808,20966,61547,90261,2.84,4688.0,5618.0,8440.0,8497.0,16671.0,20997.0,20001.0,19631.0,68231.0,172774.0
"Oceanside city, California",Oceanside city, California,2010,61874,359900.0,1354.0,55896,5978,32138,23758,2.89,2019.0,3993.0,11978.0,17473.0,14860.0,6840.0,2928.0,1299.0,484.0,61874.0
"Ontario city, California",Ontario city, California,2010,45723,251400.0,1251.0,42752,2971,22765,19987,3.79,2693.0,1948.0,4335.0,9511.0,8280.0,6106.0,7115.0,3452.0,2283.0,45723.0
"Orange city, California",Orange city, California,2010,44514,528500.0,1397.0,41986,2528,23419,18567,2.92,2024.0,1893.0,3083.0,5504.0,11887.0,10327.0,6168.0,1095.0,2533.0,44514.0
"Oxnard city, California",Oxnard city, California,2010,51911,319500.0,1222.0,49059,2852,25641,23418,3.63,2937.0,3708.0,4331.0,6321.0,9854.0,13160.0,8091.0,2739.0,770.0,51911.0
"Palmdale city, California",Palmdale city, California,2010,43964,168800.0,1175.0,40215,3749,27761,12454,3.74,4996.0,4751.0,11252.0,13387.0,3076.0,1397.0,4492.0,118.0,495.0,43964.0
"Pasadena city, California",Pasadena city, California,2010,55124,623700.0,1385.0,50821,4303,22874,27947,2.61,1770.0,2808.0,1547.0,5512.0,6773.0,6460.0,7989.0,6481.0,15784.0,55124.0
"Perris city, California",Perris city, California,2010,17353,156000.0,1110.0,15621,1732,10281,5340,4.52,3368.0,2640.0,4856.0,3867.0,1312.0,724.0,66.0,457.0,63.0,17353.0
"Pittsburg city, California",Pittsburg city, California,2010,20373,221500.0,1264.0,18231,2142,10804,7427,3.46,1345.0,1719.0,2105.0,4202.0,5191.0,2260.0,2127.0,1034.0,390.0,20373.0
"Pleasanton city, California",Pleasanton city, California,2010,23833,696900.0,1469.0,23226,607,15797,7429,3.18,1112.0,1327.0,3946.0,6290.0,5874.0,3769.0,1028.0,59.0,428.0,23833.0
"Pomona city, California",Pomona city, California,2010,40136,259500.0,1026.0,36638,3498,18756,17882,4.07,1526.0,819.0,2133.0,6030.0,6207.0,6617.0,8837.0,3199.0,4768.0,40136.0
"Rancho Cucamonga city, California",Rancho Cucamonga city, California,2010,58385,358000.0,1364.0,54752,3633,36141,18611,3.09,5262.0,9810.0,9785.0,16730.0,10972.0,2709.0,1699.0,397.0,1021.0,58385.0
