GEO_ID,NAME,COUNTY,STATE,TOT_HOUSEHOLD,POPULATION,TOT_ENROLLED,PRE_K,KINDER,ELEMENTARY,HIGH_SCHOOL,COLLEGE,COLLEGE_POP
0500000US32003,"Clark County, Nevada",Clark County, Nevada,857362.0,2305626.0,516392.0,4.0,6.2,44.5,23.6,21.8,112573.456
0500000US32031,"Washoe County, Nevada",Washoe County, Nevada,198684.0,489894.0,110945.0,5.4,3.7,40.9,22.0,28.1,31175.545000000002
0500000US33005,"Cheshire County, New Hampshire",Cheshire County, New Hampshire,31960.0,74118.0,16594.0,6.0,4.9,37.4,21.7,30.0,4978.2
0500000US33009,"Grafton County, New Hampshire",Grafton County, New Hampshire,37847.0,84343.0,18854.0,4.7,2.4,33.7,18.9,40.3,7598.161999999999
0500000US33011,"Hillsborough County, New Hampshire",Hillsborough County, New Hampshire,167816.0,419135.0,85928.0,6.9,4.8,41.5,24.0,22.7,19505.656
0500000US33013,"Merrimack County, New Hampshire",Merrimack County, New Hampshire,62024.0,149567.0,31510.0,4.4,4.7,44.7,20.9,25.3,7972.03
0500000US33015,"Rockingham County, New Hampshire",Rockingham County, New Hampshire,127290.0,317242.0,64590.0,7.8,5.1,39.6,25.3,22.2,14338.98
0500000US33017,"Strafford County, New Hampshire",Strafford County, New Hampshire,51687.0,125802.0,30096.0,5.2,3.7,28.3,23.9,39.0,11737.44
0500000US34001,"Atlantic County, New Jersey",Atlantic County, New Jersey,106972.0,269929.0,64871.0,6.5,6.4,39.3,22.8,25.0,16217.75
0500000US34003,"Bergen County, New Jersey",Bergen County, New Jersey,354937.0,942013.0,228614.0,7.8,4.4,39.2,22.4,26.3,60125.482
0500000US34005,"Burlington County, New Jersey",Burlington County, New Jersey,176334.0,454794.0,107898.0,7.6,4.7,40.5,21.6,25.5,27513.99
0500000US34007,"Camden County, New Jersey",Camden County, New Jersey,203530.0,517964.0,122783.0,7.5,4.8,42.0,23.7,21.9,26889.476999999995
0500000US34009,"Cape May County, New Jersey",Cape May County, New Jersey,48563.0,94219.0,16605.0,6.9,9.0,40.6,32.2,11.2,1859.7599999999998
0500000US34011,"Cumberland County, New Jersey",Cumberland County, New Jersey,54961.0,143945.0,39061.0,6.6,5.6,42.7,26.4,18.7,7304.407
0500000US34013,"Essex County, New Jersey",Essex County, New Jersey,321371.0,830371.0,227187.0,10.2,4.7,39.9,19.6,25.6,58159.872
0500000US34015,"Gloucester County, New Jersey",Gloucester County, New Jersey,111781.0,299552.0,77150.0,5.4,5.1,38.6,19.6,31.4,24225.1
0500000US34017,"Hudson County, New Jersey",Hudson County, New Jersey,304526.0,695417.0,150673.0,6.9,6.1,40.7,17.1,29.3,44147.189
0500000US34019,"Hunterdon County, New Jersey",Hunterdon County, New Jersey,50515.0,127079.0,27698.0,9.1,3.5,40.8,23.7,22.9,6342.842
0500000US34021,"Mercer County, New Jersey",Mercer County, New Jersey,144989.0,363936.0,98830.0,6.1,4.1,36.7,22.3,30.9,30538.47
0500000US34023,"Middlesex County, New Jersey",Middlesex County, New Jersey,306950.0,836449.0,224339.0,6.4,4.3,36.6,20.2,32.5,72910.175
0500000US34025,"Monmouth County, New Jersey",Monmouth County, New Jersey,253767.0,636785.0,148472.0,7.9,4.4,39.3,24.2,24.2,35930.224
0500000US34027,"Morris County, New Jersey",Morris County, New Jersey,194141.0,502556.0,124182.0,9.1,4.5,37.1,23.7,25.6,31790.592
0500000US34029,"Ocean County, New Jersey",Ocean County, New Jersey,241983.0,648390.0,163303.0,8.5,4.9,44.4,20.8,21.5,35110.145
0500000US34031,"Passaic County, New Jersey",Passaic County, New Jersey,179292.0,504546.0,136552.0,8.0,6.1,39.0,19.5,27.4,37415.24799999999
0500000US34033,"Salem County, New Jersey",Salem County, New Jersey,25221.0,63862.0,13200.0,4.9,9.1,41.0,23.0,22.0,2904.0
0500000US34035,"Somerset County, New Jersey",Somerset County, New Jersey,130178.0,342599.0,80436.0,5.5,5.2,40.6,25.9,22.8,18339.408
